N1,v1,N2,v2,N3,v3,N4,v4
40245,-1.76,20027,-1.76,8632,-1.76,25258.5,-0.78
38288,2.15,18182,1.79,7485,1.79,25726.9,0.79
40272,-1.53,20020,-2.17,8672,-1.57,27310.6,-1.08
39090,1.56,16748,2.19,7891,1.61,27585.5,1.09
40250,-2,20093,-1.51,8665,-2.01,28697.6,-1.39
37042,2.02,18932,1.56,7010,2.03,28928.6,1.39
40207,-2.43,20014,-1.99,8687,-2.41,29348.6,-1.54
36854,2.43,17193,2.03,6928,2.42,29447.4,1.54
40214,-2.81,20111,-2.43,8636,-2.83,29371,-1.55
38248,2.82,17065,2.45,7513,3.23,29527,1.59
40326,-3.18,20124,-2.81,8667,-3.19,30480,-2.02
39027,3.18,18090,2.81,7870,3.19,30511,2.04
40306,-3.53,20079,-3.16,8641,-3.51,31011,-2.40
39305,3.53,18784,3.17,8048,3.51,31103,2.43
40300,-3.88,20088,-3.52,8667,-3.87,31401,-2.80
39686,3.88,19163,3.53,8338,3.86,31309,2.80
40321,-4.25,20051,-3.9,8673,-4.19,31664,-3.19
39774,4.24,19376,3.89,8338,4.18,31565,3.18
40419,-4.59,20001,-4.25,8728,-4.5,31836,-3.53
39982,4.55,19636,4.27,8413,4.46,31799,3.53
,,20120,-4.6,,,31895,-3.91
,,19736,4.59,,,31910,3.88
,,,,,,32085,-4.24
,,,,,,32036,4.21
,,,,,,32138,-4.57
,,,,,,32138,4.54
