U,R2,T,Sigma
0.32,226,280.80487804878,4.08652586975202
0.285,222,279.951219512195,4.16015696650431
0.315,217,280.682926829268,4.25601311780625
0.405,208,282.878048780488,4.44016753155748
0.475,200,284.585365853659,4.61777423281978
0.525,190,285.804878048781,4.86081498191556
0.675,173,289.463414634146,5.33846732117894
0.855,151,293.853658536585,6.11625726201295
0.975,139,296.780487804878,6.64427947168314
1.085,126,299.463414634146,7.32980036955521
1.475,91,308.975609756098,10.1489543578457
1.695,77,314.341463414634,11.9942187865449
1.995,60,321.658536585366,15.3925807760659
2.185,"51,2",326.292682926829,18.0381805969523
2.455,43,332.878048780488,21.4780196875339
2.685,36,338.487804878049,25.6543012934432
2.955,"29,3",345.073170731707,31.5206432274388
3.295,23,353.365853658537,40.154558546259
3.785,"16,5",365.317073170732,55.9730210038761
4.155,13,374.341463414634,71.0426805049197
