"I, mA","U, V"
"0.019","0"
"0.036","0.003"
"0.393","0.0021"
"0.572","0.0031"
"0.758","0.0041"
"0.948","0.0051"
"1.052","0.0057"
"1.180","0.0064"
"1.300","0.0071"
"1.399","0.0077"
"1.548","0.0086"
"1.710","0.0096"
"1.862","0.0105"
"1.929","0.0110"
"2.053","0.0118"
"2.160","0.0125"
"2.277","0.0134"
"2.448","0.0146"
"2.575","0.0156"
"2.709","0.0166"
"2.849","0.0177"
"2.970","0.0187"
"3.089","0.0198"
"3.206","0.0209"
"3.312","0.0219"
"3.436","0.0231"
"3.522","0.0240"
"3.618","0.0251"
"3.747","0.0265"
"3.862","0.0279"
"4.021","0.03"
"4.178","0.0324"
"2.126","0.217"
"0.615","0.376"
"0.671","0.3828"
"0.774","0.392"
"0.950","0.403"
"1.136","0.4112"
"1.521","0.4232"
"1.934","0.4321"
"2.511","0.4411"
"4.940","0.4627"
"6.0293","0.4689"
"4.179","0.4573"
"2.051","0.2131"
"2.297","0.2234"
"3.710","0.0261"
